rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
1,8150,南茂,67.0,2.3,6.35,11.07,26.38,64.1,15,23.1,5892228.0,14000.0,9395459.0,31000.0,True,True,97.68,61.45,78.84,通過,通過
2,3016,嘉晶,62.6,1.62,2.96,7.84,2.95,60.7,2,20.3,836724.0,0.0,1536592.0,0.0,True,True,24.78,80.51,53.76,通過,通過
3,4540,全球傳動,53.4,2.41,2.89,17.38,8.2,69.8,3,75.1,167920.0,0.0,3018920.0,0.0,True,True,43.68,57.15,50.68,通過,通過
4,2353,宏碁,27.5,1.65,0.92,0.77,7.33,53.6,3,2.1,314650.0,-392017.0,4056657.0,-560775.0,True,True,18.83,76.87,49.01,通過,通過
5,1605,華新,32.4,1.56,0.62,2.24,10.85,51.2,2,2.5,3724300.0,-983493.0,10132238.0,-955524.0,True,True,15.21,75.47,46.55,通過,通過
6,2376,技嘉,279.0,1.76,5.88,17.24,72.24,71.7,13,74.8,10583988.0,105575.0,11308397.0,485945.0,True,False,93.54,0.0,44.9,通過,未通過
7,3701,大眾控,64.3,2.03,3.71,8.63,9.17,58.7,2,-30.3,1050930.0,-1000.0,1890930.0,-12000.0,True,True,27.71,56.24,42.55,通過,通過
8,6282,康舒,51.0,3.0,1.19,8.52,52.91,58.6,0,17.3,-10158377.0,-22000.0,-6290785.0,-104000.0,False,True,0.0,57.15,29.72,未通過,通過
9,6271,同欣電,183.0,2.04,3.98,17.28,45.32,68.2,1,-4.6,-2797333.0,2878000.0,-2109078.0,2878000.0,True,True,33.88,20.32,26.83,通過,通過
10,2049,上銀,282.0,2.32,2.55,18.65,85.04,70.6,5,17.4,550365.0,5000.0,734544.0,32000.0,True,False,54.38,0.0,26.1,通過,未通過
11,1503,士電,194.0,1.59,0.26,-0.71,5.04,50.1,0,35.3,-251753.0,0.0,-215631.0,3000.0,False,True,0.0,49.86,25.93,未通過,通過
12,1519,華城,877.0,2.21,5.66,0.32,46.25,51.9,0,3.4,-655589.0,-18325.0,-758566.0,6350.0,False,True,0.0,48.77,25.36,未通過,通過
13,2312,金寶,23.4,1.88,3.08,2.19,6.06,52.4,0,-13.1,-1415150.0,-1485000.0,2847066.0,-1967000.0,False,True,0.0,47.61,24.76,未通過,通過
14,2498,宏達電,41.0,1.67,1.49,-0.08,4.64,49.2,0,-8.3,-1013234.0,-3000.0,604917.0,-10000.0,False,True,0.0,46.18,24.01,未通過,通過
15,6155,鈞寶,48.95,1.68,-1.21,7.64,3.2,56.2,0,6.5,-266000.0,0.0,-723340.0,0.0,False,True,0.0,45.87,23.85,未通過,通過
16,2375,凱美,85.9,1.69,0.82,7.49,7.54,58.2,0,2.7,-987000.0,0.0,-1989800.0,0.0,False,True,0.0,45.82,23.83,未通過,通過
17,2359,所羅門,115.5,1.64,0.87,1.2,2.82,51.1,0,-44.1,-489000.0,0.0,-261600.0,0.0,False,True,0.0,45.36,23.59,未通過,通過
18,6166,凌華,71.7,2.1,-0.83,16.96,3.69,72.2,5,28.8,1643300.0,0.0,2328369.0,0.0,True,False,48.14,0.0,23.11,通過,未通過
19,2454,聯發科,1790.0,1.93,4.07,8.89,412.85,65.0,5,12.9,4690766.0,264196.0,5251402.0,-118183.0,True,False,42.75,0.0,20.52,通過,未通過
20,6706,惠特,149.5,1.82,7.17,20.22,36.48,65.6,1,-59.6,2371588.0,0.0,3132213.0,0.0,True,False,40.23,0.0,19.31,通過,未通過
21,3044,健鼎,402.0,2.0,5.37,10.53,41.4,64.2,2,24.4,2093187.0,-701463.0,2487912.0,-945139.0,True,False,31.73,0.0,15.23,通過,未通過
22,8210,勤誠,992.0,1.56,3.23,10.71,54.39,62.6,2,44.7,-81767.0,108000.0,183012.0,799000.0,True,False,28.44,0.0,13.65,通過,未通過
23,1326,台化,50.4,1.21,-7.69,10.98,42.9,59.2,0,21.6,-18088652.0,-9206000.0,93741849.0,-7095000.0,False,False,0.0,0.0,0.0,未通過,未通過
24,1504,東元,62.2,1.22,0.81,-5.13,7.39,40.5,0,3.3,-2457040.0,-66000.0,-3240600.0,-430000.0,False,False,0.0,0.0,0.0,未通過,未通過
25,1312,國喬,14.45,1.79,-2.69,5.58,6.68,57.7,0,17.5,-1884000.0,0.0,16831000.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
26,1319,東陽,78.6,0.89,1.95,-5.99,2.41,34.2,1,-19.9,498000.0,-147051.0,-1349907.0,-963100.0,False,False,0.0,0.0,0.0,未通過,未通過
27,1727,中華化,57.1,0.48,-1.72,9.92,2.59,62.1,3,53.2,363000.0,22485.0,1877327.0,12485.0,False,False,0.0,0.0,0.0,未通過,未通過
28,1717,長興,79.8,0.56,-1.48,22.59,59.4,70.2,0,5.4,-5319587.0,-6000.0,-8337786.0,594512.0,False,False,0.0,0.0,0.0,未通過,未通過
29,1711,永光,43.65,1.22,3.8,20.93,27.32,65.6,3,28.2,3950900.0,20000.0,-8730417.0,50000.0,False,False,0.0,0.0,0.0,未通過,未通過
30,1597,直得,115.5,2.64,-3.35,34.64,13.1,74.3,2,38.5,3052000.0,0.0,3156000.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
31,2059,川湖,3440.0,1.05,-0.15,2.27,23.05,53.0,1,38.9,-9067.0,12426.0,-335448.0,-43248.0,False,False,0.0,0.0,0.0,未通過,未通過
32,2105,正新,31.95,0.94,-1.69,5.0,3.44,57.7,0,7.2,-1392198.0,-103547.0,1550344.0,-178090.0,False,False,0.0,0.0,0.0,未通過,未通過
33,2002,中鋼,20.1,0.91,-1.95,3.1,8.28,55.0,0,-2.3,-1991834.0,-65983.0,49581318.0,-1762519.0,False,False,0.0,0.0,0.0,未通過,未通過
34,1802,台玻,69.2,1.43,1.47,20.31,191.22,66.8,3,16.4,27963556.0,0.0,106785768.0,22000.0,False,False,0.0,0.0,0.0,未通過,未通過
35,2301,光寶科,159.0,0.9,0.95,1.84,38.8,51.7,2,23.4,12234970.0,-2012537.0,4243376.0,-3706398.0,False,False,0.0,0.0,0.0,未通過,未通過
36,2303,聯電,62.1,1.27,4.02,4.71,89.73,56.1,1,4.9,43564053.0,-19062416.0,-19749152.0,-2706257.0,False,False,0.0,0.0,0.0,未通過,未通過
37,2305,全友,17.6,0.49,-1.68,13.59,0.73,59.4,1,74.9,341000.0,0.0,-340999.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
38,2308,台達電,1785.0,1.08,2.0,20.38,232.0,70.3,1,37.6,1623342.0,-63648.0,-802315.0,-533035.0,False,False,0.0,0.0,0.0,未通過,未通過
39,2313,華通,263.0,0.74,2.14,10.66,162.46,57.4,1,11.1,5826642.0,-953255.0,-24365450.0,-8465255.0,False,False,0.0,0.0,0.0,未通過,未通過
40,2316,楠梓電,115.5,0.7,-2.53,13.37,9.76,59.2,0,16.5,-2322243.0,0.0,-428993.0,-1000.0,False,False,0.0,0.0,0.0,未通過,未通過
41,2233,宇隆,229.0,0.91,-0.22,1.67,2.47,52.3,0,2.9,-50000.0,-1000.0,423775.0,-5000.0,False,False,0.0,0.0,0.0,未通過,未通過
42,2027,大成鋼,37.45,1.16,-2.6,0.43,11.64,49.6,0,25.1,-14480900.0,0.0,-13226353.0,44000.0,False,False,0.0,0.0,0.0,未通過,未通過
43,2324,仁寶,29.45,1.03,-0.17,-3.03,9.79,48.5,5,17.0,1865222.0,-6509451.0,20074997.0,-12758235.0,False,False,0.0,0.0,0.0,未通過,未通過
44,2317,鴻海,207.5,1.31,0.0,1.34,149.32,52.4,3,45.6,2932308.0,-573640.0,28070993.0,-5062141.0,False,False,0.0,0.0,0.0,未通過,未通過
45,2327,國巨,322.0,1.21,3.21,20.18,247.5,70.2,9,22.8,4641533.0,1511059.0,37533687.0,7249420.0,False,False,0.0,0.0,0.0,未通過,未通過
46,2329,華泰,58.5,0.8,-0.85,8.32,11.95,58.2,0,10.1,-70380.0,-7000.0,8578401.0,-50000.0,False,False,0.0,0.0,0.0,未通過,未通過
47,2340,台亞,29.35,0.58,0.34,7.27,1.27,58.5,3,-10.2,772002.0,0.0,3383564.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
48,2344,華邦電,90.2,0.93,-3.53,-11.9,118.72,40.9,0,91.5,-25402040.0,-2115430.0,-23638545.0,-11196684.0,False,False,0.0,0.0,0.0,未通過,未通過
49,1513,中興電,150.5,1.49,-0.66,-1.91,6.65,45.3,0,4.8,-233517.0,-188000.0,-748822.0,-388000.0,False,False,0.0,0.0,0.0,未通過,未通過
50,1402,遠東新,26.5,1.06,0.38,-1.76,4.53,44.3,0,-3.3,-5063572.0,-110632.0,-13395000.0,-303.0,False,False,0.0,0.0,0.0,未通過,未通過
51,1528,恩德,30.35,1.47,9.96,24.94,12.93,70.7,3,30.9,11143000.0,-3000.0,13516701.0,-17000.0,False,False,0.0,0.0,0.0,未通過,未通過
52,1560,中砂,521.0,1.23,3.58,10.55,16.76,62.1,1,31.1,1386593.0,-155000.0,1348630.0,-231000.0,False,False,0.0,0.0,0.0,未通過,未通過
53,1590,亞德客-KY,1185.0,1.02,6.28,15.25,13.44,68.2,0,18.1,-326208.0,0.0,-302606.0,-6169.0,False,False,0.0,0.0,0.0,未通過,未通過
54,1476,儒鴻,340.5,1.48,-0.44,-3.8,7.02,43.3,0,5.5,-569083.0,-3361.0,-718314.0,-38543.0,False,False,0.0,0.0,0.0,未通過,未通過
55,1477,聚陽,215.0,0.9,-0.69,-16.98,2.88,21.3,0,-9.4,-249990.0,-62775.0,-95269.0,-311148.0,False,False,0.0,0.0,0.0,未通過,未通過
56,1216,統一,72.6,1.2,0.69,1.93,8.58,55.6,2,2.6,3234467.0,-1267770.0,3976377.0,-4168632.0,False,False,0.0,0.0,0.0,未通過,未通過
57,1303,南亞,88.5,1.12,-0.56,9.59,116.9,58.2,3,18.1,37368949.0,-5550559.0,101756171.0,-2560210.0,False,False,0.0,0.0,0.0,未通過,未通過
58,1304,台聚,15.35,0.81,-5.54,1.97,3.17,50.2,0,0.6,-1100550.0,0.0,1706270.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
59,2365,昆盈,34.55,1.42,0.58,4.26,2.64,57.2,0,2.6,-409010.0,0.0,-327009.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
60,2360,致茂,2020.0,0.68,9.78,27.56,58.09,70.2,4,63.5,-357891.0,272434.0,-2669192.0,1188673.0,False,False,0.0,0.0,0.0,未通過,未通過
61,2357,華碩,584.0,1.26,0.69,3.1,24.5,59.9,0,33.8,-824064.0,-72872.0,-1880951.0,-38117.0,False,False,0.0,0.0,0.0,未通過,未通過
62,2356,英業達,44.45,1.07,-0.34,4.35,9.81,57.7,5,47.1,6229232.0,-2625562.0,19761460.0,-6247999.0,False,False,0.0,0.0,0.0,未通過,未通過
63,2351,順德,121.0,0.71,-1.63,21.73,6.98,68.9,1,11.9,1449000.0,0.0,1695342.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
64,2369,菱生,31.4,0.7,-2.03,4.7,3.82,54.7,3,33.4,463146.0,0.0,2008201.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
65,2371,大同,32.05,0.92,0.31,1.02,4.97,48.3,2,8.4,3812710.0,-81000.0,2211573.0,-121351.0,False,False,0.0,0.0,0.0,未通過,未通過
66,2367,燿華,72.1,0.41,0.14,-0.63,24.51,52.2,1,-15.2,189218.0,-11000.0,-4831525.0,-79000.0,False,False,0.0,0.0,0.0,未通過,未通過
67,2379,瑞昱,525.0,1.18,0.19,7.79,19.76,66.3,4,4.5,2215907.0,-425910.0,4030085.0,-629277.0,False,False,0.0,0.0,0.0,未通過,未通過
68,2382,廣達,308.5,1.09,-4.49,5.48,107.41,57.8,0,88.4,-8943400.0,-1351398.0,-6333386.0,-1811275.0,False,False,0.0,0.0,0.0,未通過,未通過
69,2383,台光電,3810.0,1.24,5.69,34.43,151.34,75.3,2,56.6,97029.0,-56464.0,256145.0,-254682.0,False,False,0.0,0.0,0.0,未通過,未通過
70,2385,群光,125.0,1.21,0.81,1.57,4.46,57.6,1,3.9,1054699.0,-206353.0,232714.0,192903.0,False,False,0.0,0.0,0.0,未通過,未通過
71,2388,威盛,62.4,2.27,9.86,20.83,13.71,69.5,3,69.4,4383935.0,0.0,8666208.0,-3000.0,False,False,0.0,0.0,0.0,未通過,未通過
72,2395,研華,348.0,1.11,1.16,2.29,9.8,58.1,6,21.8,1040964.0,-245465.0,2731924.0,-1380016.0,False,False,0.0,0.0,0.0,未通過,未通過
73,2374,佳能,71.8,1.24,-0.28,1.95,3.53,51.3,0,92.2,-635294.0,0.0,-665920.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
74,2368,金像電,1165.0,1.16,1.3,24.08,109.17,70.0,7,63.1,391108.0,388339.0,1238446.0,368616.0,False,False,0.0,0.0,0.0,未通過,未通過
75,2402,毅嘉,72.4,0.95,0.0,34.55,26.46,77.0,0,13.5,-3670779.0,-4000.0,15892104.0,3559000.0,False,False,0.0,0.0,0.0,未通過,未通過
76,2404,漢唐,910.0,0.67,-0.55,-3.46,25.95,47.8,1,100.6,138541.0,-363000.0,-2714433.0,-435000.0,False,False,0.0,0.0,0.0,未通過,未通過
77,2408,南亞科,211.5,0.97,-3.86,-7.66,234.56,44.7,0,560.0,-755163.0,-2479104.0,-33547949.0,-2540243.0,False,False,0.0,0.0,0.0,未通過,未通過
78,2406,國碩,33.05,1.8,3.44,-2.47,7.13,50.4,0,160.1,-227999.0,0.0,302001.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
79,2412,中華電,135.5,0.91,0.37,0.3,11.13,54.8,2,7.6,2131095.0,-727901.0,4125426.0,-3088548.0,False,False,0.0,0.0,0.0,未通過,未通過
80,2421,建準,141.0,1.0,-0.35,2.88,6.44,53.1,3,22.5,761976.0,252089.0,533870.0,246089.0,False,False,0.0,0.0,0.0,未通過,未通過
81,2426,鼎元,49.3,0.24,-6.81,38.38,3.34,69.2,1,-14.1,1314100.0,0.0,-2890.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
82,2409,友達,20.05,1.16,1.26,23.28,138.96,70.4,2,0.6,21037439.0,-40269.0,121113623.0,6868.0,False,False,0.0,0.0,0.0,未通過,未通過
83,2428,興勤,182.5,0.81,-1.35,12.8,3.73,64.6,1,11.3,36535.0,0.0,-1054026.0,-1000.0,False,False,0.0,0.0,0.0,未通過,未通過
84,2436,偉詮電,60.8,1.41,-3.95,-0.09,2.76,50.4,2,25.8,-224932.0,16000.0,-754932.0,51000.0,False,False,0.0,0.0,0.0,未通過,未通過
85,2449,京元電子,291.0,1.1,-3.32,1.16,85.69,51.8,0,36.1,-4924377.0,-1074281.0,-8209331.0,-344699.0,False,False,0.0,0.0,0.0,未通過,未通過
86,2441,超豐,88.7,0.99,-2.31,-0.78,6.81,47.7,1,14.3,469005.0,-11000.0,-2200418.0,-258000.0,False,False,0.0,0.0,0.0,未通過,未通過
87,2451,創見,248.0,0.61,-0.6,0.93,13.64,52.5,1,380.6,-79716.0,48212.0,495886.0,-535575.0,False,False,0.0,0.0,0.0,未通過,未通過
88,2455,全新,275.0,0.3,-1.96,10.48,9.95,57.7,2,16.6,110680.0,10000.0,-703229.0,560000.0,False,False,0.0,0.0,0.0,未通過,未通過
89,2399,映泰,37.05,1.37,9.94,21.55,8.67,63.1,1,-21.7,4626999.0,-3000.0,3943749.0,-20000.0,False,False,0.0,0.0,0.0,未通過,未通過
90,2377,微星,88.7,1.1,-0.22,-3.18,5.51,43.6,0,-11.9,-171338.0,-13000.0,-2581642.0,-10000.0,False,False,0.0,0.0,0.0,未通過,未通過
91,2464,盟立,74.3,1.38,-1.07,4.58,4.47,57.3,2,8.0,576100.0,0.0,1027494.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
92,2458,義隆,136.5,0.82,0.0,2.48,3.96,57.7,5,19.8,1384000.0,-337255.0,5139491.0,90085.0,False,False,0.0,0.0,0.0,未通過,未通過
93,2474,可成,200.0,1.01,1.27,5.94,4.24,67.1,2,-25.0,584164.0,-275085.0,818259.0,-561905.0,False,False,0.0,0.0,0.0,未通過,未通過
94,2467,志聖,510.0,0.28,-6.93,23.64,7.71,68.6,0,77.6,-260391.0,-56000.0,-139851.0,52000.0,False,False,0.0,0.0,0.0,未通過,未通過
95,2481,強茂,100.0,0.81,1.01,4.22,14.85,54.8,2,19.1,1134004.0,63000.0,3234621.0,-3036000.0,False,False,0.0,0.0,0.0,未通過,未通過
96,2484,希華,36.65,1.52,6.39,25.56,11.51,69.4,1,-4.6,-192000.0,246853.0,1557900.0,246853.0,False,False,0.0,0.0,0.0,未通過,未通過
97,2485,兆赫,79.9,1.04,2.04,11.62,54.4,61.7,7,200.1,1163977.0,8000.0,-5244773.0,22000.0,False,False,0.0,0.0,0.0,未通過,未通過
98,2472,立隆電,181.5,2.24,1.68,40.39,24.95,81.5,3,9.3,952014.0,-1000.0,1381014.0,-1000.0,False,False,0.0,0.0,0.0,未通過,未通過
99,2486,一詮,181.0,0.18,-5.48,18.3,6.74,62.1,2,20.1,287000.0,0.0,-1697919.0,74000.0,False,False,0.0,0.0,0.0,未通過,未通過
100,2489,瑞軒,42.25,0.15,-7.55,10.15,7.1,57.3,1,11.2,2138010.0,0.0,-20477919.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
101,2493,揚博,152.5,1.63,9.71,35.97,13.43,76.3,0,-6.2,-777000.0,-2000.0,1099143.0,-13000.0,False,False,0.0,0.0,0.0,未通過,未通過
102,2492,華新科,144.5,1.43,1.05,12.4,34.91,62.8,12,11.1,1123797.0,3000.0,8205887.0,112000.0,False,False,0.0,0.0,0.0,未通過,未通過
103,2495,普安,45.2,1.3,9.98,30.43,11.29,74.3,4,61.0,3765980.0,-3000.0,7278684.0,-28000.0,False,False,0.0,0.0,0.0,未通過,未通過
104,2603,長榮,203.0,1.22,1.0,-1.85,20.56,49.6,2,-17.9,2916820.0,-1238170.0,3258837.0,-2147908.0,False,False,0.0,0.0,0.0,未通過,未通過
105,2605,新興,35.7,1.55,-1.52,-8.38,6.22,41.1,0,34.7,-966.0,0.0,249962.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
106,2476,鉅祥,108.0,1.08,2.37,25.13,9.62,76.3,2,42.0,3732.0,0.0,1074020.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
107,2609,陽明,51.5,1.06,2.18,-6.69,9.56,39.9,0,-5.9,-964324.0,-75151.0,-13107541.0,-264181.0,False,False,0.0,0.0,0.0,未通過,未通過
108,2610,華航,18.25,1.0,0.0,-1.57,5.91,41.1,0,20.0,-5089191.0,-3776000.0,-18966331.0,-81000.0,False,False,0.0,0.0,0.0,未通過,未通過
109,2618,長榮航,34.75,1.46,-1.14,0.36,9.8,46.5,2,18.5,4306615.0,-7036652.0,5622421.0,-7784629.0,False,False,0.0,0.0,0.0,未通過,未通過
110,2615,萬海,77.6,1.13,1.84,-0.45,7.91,50.1,2,-10.7,4501568.0,-24851.0,4064506.0,-125693.0,False,False,0.0,0.0,0.0,未通過,未通過
111,2912,統一超,231.5,1.31,1.76,4.47,5.98,62.3,2,4.9,1041104.0,-66152.0,766825.0,-190304.0,False,False,0.0,0.0,0.0,未通過,未通過
112,3005,神基,97.5,1.19,-0.61,-15.92,4.74,27.4,1,-7.4,516775.0,-302000.0,-1577646.0,-685000.0,False,False,0.0,0.0,0.0,未通過,未通過
113,2330,台積電,2080.0,1.17,1.22,10.58,974.35,68.7,2,45.2,4825960.0,-52482.0,22505234.0,-4260742.0,False,False,0.0,0.0,0.0,未通過,未通過
114,2337,旺宏,142.0,1.3,-8.68,10.16,382.76,56.0,2,96.5,-42429928.0,718000.0,-26748387.0,3567000.0,False,False,0.0,0.0,0.0,未通過,未通過
115,2347,聯強,82.2,1.45,0.0,7.08,6.4,65.4,3,64.7,4197543.0,-2723060.0,6619097.0,-2822118.0,False,False,0.0,0.0,0.0,未通過,未通過
116,2345,智邦,1970.0,1.57,4.23,23.14,146.62,70.8,6,44.4,574759.0,438156.0,496701.0,702012.0,False,False,0.0,0.0,0.0,未通過,未通過
117,2355,敬鵬,51.5,0.42,-0.19,8.64,6.46,60.0,2,5.7,1318000.0,-41109.0,783298.0,-79214.0,False,False,0.0,0.0,0.0,未通過,未通過
118,1582,信錦,102.0,0.55,-0.49,7.85,5.37,58.3,0,-0.1,-6980.0,0.0,720929.0,269000.0,False,False,0.0,0.0,0.0,未通過,未通過
119,1309,台達化,21.25,0.7,-5.76,9.32,3.71,53.7,1,-8.4,1080050.0,0.0,-1133675.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
120,1301,台塑,52.3,0.8,-3.68,10.05,24.28,61.1,4,1.5,6379305.0,1197886.0,127043710.0,551435.0,False,False,0.0,0.0,0.0,未通過,未通過
121,1101,台泥,24.6,0.91,-2.77,1.86,8.36,51.9,0,-9.0,-12766348.0,-63000.0,-20626477.0,-148000.0,False,False,0.0,0.0,0.0,未通過,未通過
122,1102,亞泥,35.35,0.93,-0.56,1.5,3.18,52.8,0,-18.1,-3066074.0,-586477.0,-8337413.0,-1533317.0,False,False,0.0,0.0,0.0,未通過,未通過
123,3030,德律,308.0,0.56,1.65,17.23,17.8,69.1,0,14.7,-217949.0,-3000.0,-2697653.0,-22000.0,False,False,0.0,0.0,0.0,未通過,未通過
